driver_id,trip_distance,trip_cost,rating,rider_feedback,region,latitude,longitude,timestamp
9984,12.43,17.32,5,punctual driver,Midtown,40.72933817463419,-74.02444062636972,2024-01-01 00:21:00
4420,15.54,19.16,3,poor navigation,Midtown,40.749271526912025,-73.95449125393397,2024-01-01 00:37:00
8123,4.25,5.44,3,on time,Suburb West,40.753801658246516,-74.07548979857056,2024-01-01 01:17:00
7420,7.64,12.81,3,very smooth ride,University Area,40.80429853661039,-73.99987074669049,2024-01-01 01:44:00
6997,7.25,14.89,5,dirty car,Downtown,40.759250955599164,-74.0408756661853,2024-01-01 05:18:00
2214,9.12,13.15,5,very smooth ride,University Area,40.78407994219287,-73.99749089523945,2024-01-01 08:08:00
1064,8.07,12.06,4,comfortable car,Commercial District,40.752612427374,-73.96457163759607,2024-01-01 10:23:00
7546,102.57,123.17,3,friendly driver,Residential North,40.829201804505075,-73.93583939665903,2024-01-01 10:54:00
1600,16.9,20.75,4,wrong route,Residential North,40.823974276354264,-73.97870275146776,2024-01-01 12:25:00
7570,16.92,23.76,4,friendly driver,Residential South,40.68676374063903,-73.99274589869091,2024-01-01 14:07:00
1207,3.08,6.65,2,good music,Downtown,40.73777427564228,-74.04885772289089,2024-01-01 15:24:00
6919,11.58,16.4,4,professional service,University Area,40.784870062948855,-73.9951300648579,2024-01-01 16:32:00
6047,3.04,8.85,5,excellent service,Downtown,40.67147432726234,-74.04429554186233,2024-01-01 16:57:00
4294,3.76,10.32,3,late pickup,Residential South,40.65428863179976,-73.95013277929004,2024-01-01 20:49:00
9780,18.75,23.76,3,wonderful trip,Airport,40.64664614719249,-73.73198961250294,2024-01-01 21:45:00
3193,12.21,15.61,1,wonderful trip,Suburb West,40.75427945091534,-74.12160733517696,2024-01-01 23:44:00
4627,3.94,7.07,2,reasonable price,Suburb East,40.71794828847954,-73.90792114543285,2024-01-02 00:11:00
6887,26.26,33.12,2,quick response,Downtown,40.745571974779104,-73.992804253461,2024-01-02 00:49:00
6585,3.02,7.23,4,satisfied customer,Residential North,40.821440034979595,-73.90546847261868,2024-01-02 01:38:00
3950,15.15,20.6,2,late pickup,Airport,40.598487525370864,-73.77015515807513,2024-01-02 01:43:00
3736,30.85,39.0,5,punctual driver,Suburb East,40.68470082826528,-73.96127261608599,2024-01-02 02:16:00
5443,15.81,20.48,4,satisfied customer,University Area,40.78329758292944,-73.9973316767515,2024-01-02 02:22:00
3060,6.64,11.62,5,very smooth ride,Residential North,40.903528241570314,-73.97190829880729,2024-01-02 02:33:00
8979,3.78,4.44,4,poor navigation,Residential South,40.743415164514815,-73.9640672120897,2024-01-02 06:31:00
5703,3.26,4.04,4,highly recommend,Residential South,40.70552652287299,-73.97774123202059,2024-01-02 08:43:00
6704,7.07,11.55,4,expensive fare,Commercial District,40.70978838038288,-74.03143683601505,2024-01-02 09:11:00
9258,15.86,21.6,3,professional service,Residential South,40.66397901335918,-73.94204200841955,2024-01-02 09:33:00
2389,31.69,40.71,4,clean vehicle,Uptown,40.80646884592758,-73.98460130989972,2024-01-02 10:52:00
5000,6.0,10.47,5,noisy vehicle,Midtown,40.796587482892384,-73.94891973983505,2024-01-02 15:28:00
5206,10.75,12.32,5,on time,University Area,40.830567201223985,-73.91326138879712,2024-01-02 15:58:00
5531,17.78,24.82,4,satisfied customer,Downtown,40.75378043289502,-73.96216627973786,2024-01-02 18:01:00
7635,32.43,42.37,2,expensive fare,Residential South,40.71904616034817,-73.99476809667621,2024-01-02 18:25:00
4579,12.35,17.56,5,perfect ride,Downtown,40.73443690551141,-74.01055902487185,2024-01-02 18:48:00
5944,9.63,15.06,1,rude driver,University Area,40.854506453702015,-73.91994001192283,2024-01-02 20:32:00
3466,15.68,19.78,2,traffic delay,Airport,40.61590941360954,-73.77035905517062,2024-01-02 20:33:00
8280,5.58,8.75,4,bad experience,Suburb West,40.68204256456391,-74.08743094314384,2024-01-02 20:54:00
9853,6.1,11.36,3,wonderful trip,Commercial District,40.80412372854157,-73.99084291933383,2024-01-02 21:01:00
1793,13.81,16.16,4,dirty car,Residential North,40.89971049850905,-73.97837992905723,2024-01-02 21:06:00
8776,6.1,11.48,1,wrong route,Midtown,40.75743587684736,-74.02253106821892,2024-01-02 22:14:00
9238,27.62,36.68,4,uncomfortable seats,Airport,40.60302717695539,-73.76273173343428,2024-01-02 22:42:00
6370,7.83,7.52,5,late pickup,Suburb East,40.72593889432082,-73.98899108120376,2024-01-02 23:44:00
8232,33.24,44.53,4,rude driver,Downtown,40.74590120604857,-74.04349863098842,2024-01-03 00:10:00
3113,3.32,6.72,5,punctual driver,Residential South,40.7116744630048,-73.94536878080932,2024-01-03 00:14:00
5555,13.44,18.09,4,on time,Midtown,40.7070953501877,-73.94039264981372,2024-01-03 01:03:00
2120,4.67,6.38,5,safe driving,Airport,40.65309344555113,-73.73360347910138,2024-01-03 01:07:00
2686,13.58,15.57,5,great experience,Airport,40.62812703254451,-73.76347474823427,2024-01-03 01:27:00
7898,1.92,3.61,4,poor navigation,Residential South,40.73369876737572,-73.90969029359121,2024-01-03 01:27:00
4814,11.59,16.28,5,amazing driver,Commercial District,40.72032333558422,-74.02101003619269,2024-01-03 01:52:00
4735,12.66,21.53,4,rough ride,Airport,40.59453753772744,-73.76947613279701,2024-01-03 03:48:00
4640,1.42,6.91,5,very smooth ride,Downtown,40.7042109082124,-73.99460048759651,2024-01-03 04:00:00
9073,11.07,18.04,5,efficient service,Downtown,40.75686453433605,-73.97984584519239,2024-01-03 04:47:00
5133,4.12,5.14,5,poor navigation,Suburb West,40.753718727424825,-74.10614597787968,2024-01-03 05:31:00
3797,6.44,11.76,4,professional service,Uptown,40.736509569785326,-73.95271963043541,2024-01-03 05:44:00
3832,1.26,6.45,4,amazing driver,Commercial District,40.78156047643776,-73.96495093844706,2024-01-03 07:58:00
9357,13.37,22.24,4,top quality,Commercial District,40.74935192467506,-73.97972952771113,2024-01-03 08:07:00
