source,target,weight
california,clay,4
california,corn,2
california,drip,4
california,fert,6
california,irrigation,4
california,loam,6
california,med,4
california,precip,6
california,temp,6
california,sandy,2
california,wheat,2
california,soybeans,2
clay,corn,20
clay,drip,4
clay,fert,54
clay,irrigation,54
clay,loam,28
clay,med,35
clay,precip,54
clay,temp,54
clay,soybeans,22
clay,flood,50
clay,texas,2
clay,illinois,4
clay,kansas,4
clay,wheat,4
clay,indiana,4
clay,ohio,4
clay,missouri,4
clay,michigan,4
clay,oklahoma,4
clay,cotton,4
clay,arkansas,4
clay,rice,4
clay,louisiana,4
clay,mississippi,4
clay,tennessee,4
clay,kentucky,4
corn,drip,2
corn,fert,34
corn,irrigation,34
corn,loam,26
corn,med,24
corn,precip,34
corn,temp,34
corn,flood,32
corn,texas,2
corn,iowa,2
corn,illinois,2
corn,nebraska,2
corn,sandy,4
corn,kansas,2
corn,minnesota,2
corn,indiana,2
corn,ohio,2
corn,missouri,2
corn,dakota,4
corn,north,2
corn,south,2
corn,wisconsin,2
corn,michigan,2
corn,colorado,2
corn,tennessee,2
corn,kentucky,2
drip,fert,4
drip,irrigation,4
drip,loam,4
drip,med,4
drip,precip,4
drip,temp,4
drip,soybeans,2
fert,irrigation,84
fert,loam,54
fert,med,47
fert,precip,86
fert,temp,86
fert,sandy,10
fert,wheat,14
fert,soybeans,28
fert,flood,80
fert,texas,4
fert,cotton,6
fert,iowa,4
fert,illinois,4
fert,nebraska,4
fert,kansas,4
fert,minnesota,4
fert,indiana,4
fert,ohio,4
fert,missouri,4
fert,dakota,8
fert,north,4
fert,south,4
fert,wisconsin,4
fert,michigan,4
fert,colorado,4
fert,oklahoma,4
fert,arkansas,4
fert,rice,4
fert,louisiana,4
fert,mississippi,4
fert,tennessee,4
fert,kentucky,4
irrigation,loam,52
irrigation,med,47
irrigation,precip,84
irrigation,temp,84
irrigation,soybeans,28
irrigation,flood,80
irrigation,texas,4
irrigation,cotton,6
irrigation,sandy,8
irrigation,iowa,4
irrigation,illinois,4
irrigation,nebraska,4
irrigation,wheat,12
irrigation,kansas,4
irrigation,minnesota,4
irrigation,indiana,4
irrigation,ohio,4
irrigation,missouri,4
irrigation,dakota,8
irrigation,north,4
irrigation,south,4
irrigation,wisconsin,4
irrigation,michigan,4
irrigation,colorado,4
irrigation,oklahoma,4
irrigation,arkansas,4
irrigation,rice,4
irrigation,louisiana,4
irrigation,mississippi,4
irrigation,tennessee,4
irrigation,kentucky,4
loam,med,37
loam,precip,54
loam,temp,54
loam,sandy,4
loam,wheat,8
loam,soybeans,20
loam,flood,48
loam,iowa,4
loam,illinois,4
loam,nebraska,4
loam,minnesota,4
loam,indiana,4
loam,ohio,4
loam,dakota,8
loam,north,4
loam,south,4
loam,wisconsin,4
loam,michigan,4
loam,tennessee,4
loam,kentucky,4
med,precip,47
med,temp,47
med,soybeans,23
med,flood,43
med,texas,2
med,iowa,4
med,illinois,4
med,nebraska,2
med,sandy,3
med,kansas,2
med,minnesota,2
med,indiana,4
med,ohio,4
med,missouri,2
med,wisconsin,2
med,michigan,4
med,colorado,1
med,arkansas,2
med,tennessee,2
med,kentucky,4
med,dakota,1
med,south,1
med,louisiana,1
precip,temp,86
precip,sandy,10
precip,wheat,14
precip,soybeans,28
precip,flood,80
precip,texas,4
precip,cotton,6
precip,iowa,4
precip,illinois,4
precip,nebraska,4
precip,kansas,4
precip,minnesota,4
precip,indiana,4
precip,ohio,4
precip,missouri,4
precip,dakota,8
precip,north,4
precip,south,4
precip,wisconsin,4
precip,michigan,4
precip,colorado,4
precip,oklahoma,4
precip,arkansas,4
precip,rice,4
precip,louisiana,4
precip,mississippi,4
precip,tennessee,4
precip,kentucky,4
temp,sandy,10
temp,wheat,14
temp,soybeans,28
temp,flood,80
temp,texas,4
temp,cotton,6
temp,iowa,4
temp,illinois,4
temp,nebraska,4
temp,kansas,4
temp,minnesota,4
temp,indiana,4
temp,ohio,4
temp,missouri,4
temp,dakota,8
temp,north,4
temp,south,4
temp,wisconsin,4
temp,michigan,4
temp,colorado,4
temp,oklahoma,4
temp,arkansas,4
temp,rice,4
temp,louisiana,4
temp,mississippi,4
temp,tennessee,4
temp,kentucky,4
sandy,wheat,4
sandy,cotton,2
sandy,flood,8
sandy,texas,2
sandy,nebraska,2
sandy,colorado,4
wheat,flood,12
wheat,nebraska,2
wheat,kansas,2
wheat,dakota,4
wheat,north,2
wheat,south,2
wheat,colorado,2
wheat,oklahoma,2
soybeans,flood,26
soybeans,iowa,2
soybeans,illinois,2
soybeans,minnesota,2
soybeans,indiana,2
soybeans,ohio,2
soybeans,missouri,2
soybeans,wisconsin,2
soybeans,michigan,2
soybeans,arkansas,2
soybeans,louisiana,2
soybeans,mississippi,2
soybeans,tennessee,2
soybeans,kentucky,2
flood,texas,4
flood,cotton,6
flood,iowa,4
flood,illinois,4
flood,nebraska,4
flood,kansas,4
flood,minnesota,4
flood,indiana,4
flood,ohio,4
flood,missouri,4
flood,dakota,8
flood,north,4
flood,south,4
flood,wisconsin,4
flood,michigan,4
flood,colorado,4
flood,oklahoma,4
flood,arkansas,4
flood,rice,4
flood,louisiana,4
flood,mississippi,4
flood,tennessee,4
flood,kentucky,4
texas,cotton,2
cotton,oklahoma,2
cotton,mississippi,2
dakota,north,4
dakota,south,4
arkansas,rice,2
rice,louisiana,2
