id,label,degree,freq,community
california,california,12,6,0
clay,clay,27,54,1
corn,corn,28,34,1
drip,drip,10,4,0
fert,fert,36,86,1
irrigation,irrigation,36,84,1
loam,loam,26,54,0
med,med,30,85,0
precip,precip,36,86,1
temp,temp,36,86,1
sandy,sandy,14,10,1
wheat,wheat,16,14,1
soybeans,soybeans,23,28,0
flood,flood,34,80,1
texas,texas,10,4,1
cotton,cotton,10,6,1
iowa,iowa,9,4,0
illinois,illinois,10,4,0
nebraska,nebraska,10,4,1
kansas,kansas,9,4,1
minnesota,minnesota,9,4,0
indiana,indiana,10,4,0
ohio,ohio,10,4,0
missouri,missouri,9,4,1
dakota,dakota,11,8,1
north,north,9,4,1
south,south,10,4,1
wisconsin,wisconsin,9,4,0
michigan,michigan,10,4,0
colorado,colorado,9,4,1
oklahoma,oklahoma,8,4,1
arkansas,arkansas,9,4,1
rice,rice,8,4,1
louisiana,louisiana,9,4,1
mississippi,mississippi,8,4,1
tennessee,tennessee,10,4,0
kentucky,kentucky,10,4,0
